Severity,Start_Lat,Start_Lng
3,36.154762,-86.760109
3,36.11026,-86.721001
2,36.13633,-86.78373
2,36.083683,-86.763618
2,36.10186,-86.817772
2,36.098969,-86.717491
2,36.151093,-86.769402
2,36.167389,-86.765671
2,36.07653,-86.634857
2,36.116371,-86.697311
2,36.104801,-86.814613
2,36.134209,-86.773987
2,36.20591,-86.768547
2,36.235004,-86.72406
2,36.141048,-86.719299
2,36.076336,-87.018539
2,36.08276,-87.019218
2,36.051521,-86.714348
2,36.077015,-87.020554
2,36.053532,-86.718071
2,36.155048,-86.797523
2,36.14819,-86.744904
3,36.154564,-86.758949
3,36.191513,-86.777618
2,36.087761,-86.607208
2,36.09034,-86.626518
2,36.16325,-86.776009
2,36.159241,-86.792732
2,36.206089,-86.771072
2,36.2048,-86.752571
2,36.06958,-86.693909
2,36.13147,-86.898384
2,36.14423,-86.760834
2,36.07708,-86.725548
2,36.109474,-86.727966
2,36.147301,-86.757889
2,36.060669,-86.949203
2,36.15424,-86.848701
2,36.07877,-87.022499
2,36.113972,-86.81089
3,36.155445,-86.761688
2,36.167389,-86.765671
2,36.183201,-86.773872
3,36.085911,-86.700035
2,36.017376,-87.030861
2,36.18539,-86.764664
2,36.120548,-86.750023
2,36.129501,-86.903313
3,36.191513,-86.777618
2,36.155598,-86.629776
2,36.155598,-86.629776
3,36.141048,-86.719299
2,36.147602,-86.744484
3,36.153591,-86.763512
2,36.083683,-86.763618
3,36.166954,-86.765182
2,36.048309,-86.951668
2,36.20853,-86.713112
2,36.167599,-86.762199
2,36.13179,-86.727615
2,36.13813,-86.727798
2,36.0774,-86.740059
3,36.144432,-86.694824
2,36.069538,-86.693413
2,36.12859,-86.777878
2,36.138248,-86.705399
2,36.154839,-86.763329
2,36.160473,-86.794266
2,36.12149,-86.620956
3,36.153301,-86.842278
2,36.210846,-86.871971
3,36.151016,-86.750305
3,36.14183,-86.675369
3,36.144146,-86.697769
3,36.149235,-86.747116
2,36.04538,-86.713249
2,36.14323,-86.823334
2,36.150051,-86.675919
2,36.170792,-86.877213
2,36.139107,-86.733109
2,36.075039,-86.724937
2,36.125839,-86.752563
2,36.167389,-86.765671
2,36.091061,-86.825333
2,36.186352,-86.818779
2,36.119228,-86.710938
2,36.156898,-86.780838
2,36.243881,-86.756622
2,36.140579,-86.831802
2,36.17326,-86.791382
2,36.232239,-86.724823
2,36.152302,-86.797432
3,36.122669,-86.75145
2,36.106216,-86.673088
2,36.2402,-86.748413
2,36.150162,-86.857933
2,36.155289,-86.82148
2,36.08683,-86.695938
2,36.125221,-86.789459
2,36.124371,-86.63028
2,36.127468,-86.629547
